iter,patch_id,score,decision,best_score,runtime_seconds,expected_gain,noise
1,1,3.6094,keep,3.6094,0.1251,0.3541,-0.1635
2,2,3.6227,discard,3.6094,0.1251,0.0905,0.0868
3,3,3.5309,keep,3.5309,0.1235,0.3347,-0.0656
4,4,3.3317,keep,3.3317,0.125,0.3785,0.0898
5,5,3.5391,discard,3.3317,0.1202,0.1255,0.1354
6,6,3.6702,discard,3.3317,0.123,0.2237,-0.0939
7,7,3.8884,discard,3.3317,0.122,0.0111,-0.0995
8,8,3.7118,discard,3.3317,0.1202,0.1135,-0.0253
9,9,3.8594,discard,3.3317,0.1217,0.115,-0.1744
10,10,3.7017,discard,3.3317,0.1227,0.0646,0.0337
11,11,3.6392,discard,3.3317,0.1243,0.1176,0.0432
12,12,3.5075,discard,3.3317,0.1216,0.2456,0.0469
